Socioeconomic Score,Study Hours,Sleep Hours,Attendance (%),Grades
0.56145,7.4,8.0,46.0,52.0
0.37518,3.2,6.4,43.0,35.0
0.2679,2.0,6.8,47.0,34.0
0.67271,4.3,9.8,67.0,33.0
0.55008,5.3,8.1,74.0,37.0
0.19297,6.9,7.8,50.0,46.0
0.53167,6.2,8.2,66.0,44.0
0.89883,7.7,8.3,64.0,63.0
0.60975,5.3,8.8,51.0,39.0
0.40513,1.5,8.3,43.0,34.0
0.69322,3.6,9.5,68.0,33.0
0.96483,3.9,7.1,84.0,47.0
0.26443,3.5,10.0,47.0,34.0
0.38012,2.5,7.1,42.0,33.0
0.5589,3.8,5.9,58.0,34.0
0.475,2.5,9.7,52.0,34.0
0.76948,3.6,6.6,55.0,35.0
0.87074,3.0,9.7,46.0,38.0
0.45348,2.6,8.6,59.0,33.0
0.4209,3.2,8.2,47.0,35.0
0.84957,1.7,9.4,52.0,34.0
0.37758,3.9,9.8,71.0,34.0
0.71147,6.1,7.3,57.0,44.0
0.6089,5.5,7.5,61.0,38.0
0.49266,3.3,9.0,56.0,35.0
0.58595,9.3,6.8,59.0,62.0
0.27783,4.5,9.1,62.0,32.0
0.48764,1.5,6.6,44.0,34.0
0.55153,3.6,6.8,65.0,33.0
0.33475,3.4,9.1,61.0,34.0
0.88105,5.3,8.7,47.0,50.0
0.67982,4.1,7.6,75.0,34.0
0.11831,3.6,9.3,72.0,33.0
0.75217,7.3,6.2,79.0,50.0
0.132,10.0,6.2,48.0,66.0
0.88537,3.2,8.7,55.0,36.0
0.4351,7.4,7.7,76.0,51.0
0.38645,6.3,7.8,58.0,45.0
0.24784,8.4,5.4,86.0,57.0
0.86138,9.7,6.1,89.0,67.0
0.86746,6.5,8.8,40.0,59.0
0.11581,3.2,8.2,54.0,34.0
0.65729,1.3,9.5,42.0,33.0
0.51212,3.5,9.0,57.0,33.0
0.61045,3.6,7.4,71.0,34.0
0.67101,5.0,5.9,61.0,36.0
0.78765,4.2,5.9,56.0,34.0
0.17543,1.8,9.1,41.0,34.0
0.24464,3.6,8.5,58.0,34.0
0.75988,7.6,8.6,46.0,59.0
0.48823,1.4,9.3,42.0,34.0
0.37775,4.2,8.9,62.0,36.0
0.26665,6.9,8.1,57.0,47.0
0.66422,7.2,6.4,48.0,51.0
0.15744,3.6,7.9,52.0,35.0
0.39732,0.9,8.6,46.0,33.0
0.30803,6.6,5.1,59.0,47.0
0.14946,6.4,8.2,72.0,45.0
0.25895,4.1,7.7,58.0,36.0
0.59385,3.6,9.6,67.0,33.0
0.14127,3.9,9.1,60.0,33.0
0.98926,5.8,10.0,68.0,64.0
0.69295,2.0,9.2,54.0,34.0
0.42887,1.0,8.2,48.0,34.0
0.52339,4.4,7.5,69.0,34.0
0.3399,3.4,6.2,49.0,34.0
0.41039,5.2,7.4,66.0,38.0
0.68414,6.0,8.8,49.0,46.0
0.89453,1.2,7.8,57.0,35.0
0.26572,2.0,8.8,58.0,35.0
0.85633,6.0,8.4,58.0,51.0
0.29349,3.7,9.8,66.0,34.0
0.13346,3.7,9.3,66.0,33.0
0.22673,3.9,8.8,58.0,33.0
0.92557,3.8,9.8,47.0,47.0
0.51349,4.8,9.9,63.0,35.0
0.1699,3.7,6.1,66.0,33.0
0.96375,3.2,5.2,47.0,43.0
0.89109,3.6,9.5,63.0,39.0
0.77921,3.7,9.0,57.0,35.0
0.94013,4.9,9.8,70.0,53.0
0.29812,3.8,9.5,61.0,34.0
0.85273,3.9,9.0,55.0,41.0
0.88278,9.2,5.2,45.0,70.0
0.81722,4.8,6.3,58.0,37.0
0.41185,3.7,7.2,67.0,34.0
0.79696,6.1,8.3,63.0,48.0
0.33621,3.2,8.0,55.0,35.0
0.39573,3.5,9.5,57.0,33.0
0.19712,7.3,8.6,65.0,50.0
0.94157,7.1,9.2,68.0,66.0
0.3619,4.2,8.2,83.0,34.0
0.56856,2.4,7.1,41.0,32.0
0.96394,2.0,9.5,48.0,40.0
0.40154,4.0,10.0,79.0,33.0
0.80069,4.1,6.2,57.0,34.0
0.86987,2.1,9.0,48.0,33.0
0.49205,1.0,8.5,52.0,32.0
0.44035,6.9,9.0,70.0,48.0
0.77297,6.6,9.7,61.0,51.0
0.30441,4.5,8.6,65.0,34.0
0.89948,3.5,9.8,69.0,40.0
0.44882,3.6,5.3,63.0,34.0
0.61861,6.4,9.5,56.0,47.0
0.84829,4.3,6.8,66.0,37.0
0.26956,3.2,8.5,49.0,35.0
0.63655,3.6,9.7,52.0,33.0
0.90401,3.8,8.0,58.0,41.0
0.25477,2.1,8.7,49.0,34.0
0.47861,5.1,9.4,46.0,36.0
0.11731,5.6,8.5,75.0,40.0
0.20098,9.7,7.1,90.0,64.0
0.99151,3.6,8.8,66.0,52.0
0.97799,1.1,9.5,47.0,37.0
0.26428,4.5,9.0,63.0,35.0
0.77758,0.8,7.4,54.0,34.0
0.692,3.7,5.3,62.0,35.0
0.62301,5.1,6.3,56.0,38.0
0.31145,1.8,9.9,46.0,33.0
0.63635,3.8,7.9,73.0,35.0
0.32549,3.6,8.6,46.0,33.0
0.18274,4.0,9.6,61.0,33.0
0.71734,4.4,9.1,64.0,36.0
0.48607,3.7,9.3,57.0,34.0
0.87831,3.8,5.4,51.0,36.0
0.7252,5.6,5.6,77.0,39.0
0.10729,3.1,9.2,64.0,35.0
0.65504,3.4,6.4,41.0,34.0
0.18435,5.6,5.2,52.0,40.0
0.80284,3.7,9.7,75.0,33.0
0.99236,3.7,8.0,46.0,53.0
0.57808,4.8,9.2,57.0,35.0
0.7145,3.6,7.7,53.0,34.0
0.25068,3.3,7.8,40.0,33.0
0.33898,3.3,9.7,40.0,34.0
0.74102,5.7,7.1,56.0,41.0
0.4383,3.8,6.7,58.0,34.0
0.93496,3.6,9.5,68.0,44.0
0.43372,3.7,8.1,68.0,34.0
0.73806,6.6,9.0,66.0,48.0
0.30339,3.6,8.2,66.0,33.0
0.69077,3.4,6.6,54.0,35.0
0.2478,4.0,8.4,49.0,35.0
0.20891,6.3,9.7,78.0,44.0
0.93699,6.1,8.5,57.0,59.0
0.39939,3.6,9.1,61.0,35.0
0.54546,3.5,9.6,53.0,34.0
0.95116,5.8,9.0,53.0,61.0
0.77282,3.0,8.2,43.0,35.0
0.14172,3.8,9.4,47.0,33.0
0.52029,5.8,8.5,51.0,42.0
0.34285,8.1,8.2,70.0,54.0
0.21627,3.3,9.3,55.0,34.0
0.87523,2.1,5.1,43.0,35.0
0.84802,5.2,8.5,48.0,47.0
0.1749,3.9,8.7,42.0,34.0
0.92373,6.2,6.9,71.0,55.0
0.46384,4.2,8.5,53.0,35.0
0.45431,3.5,9.2,72.0,32.0
0.37248,2.6,6.5,49.0,33.0
0.5146,3.7,6.9,66.0,34.0
0.32658,3.5,5.9,66.0,32.0
0.43737,5.7,9.8,54.0,40.0
0.81995,3.6,5.7,79.0,34.0
0.85083,6.1,7.0,60.0,48.0
0.37376,4.0,8.2,63.0,33.0
0.88644,4.5,9.4,51.0,47.0
0.14741,8.2,6.1,90.0,54.0
0.90023,8.0,5.5,84.0,59.0
0.59765,3.2,9.6,52.0,35.0
0.19141,4.7,9.9,57.0,34.0
0.82264,4.8,9.7,76.0,41.0
0.45967,5.5,9.0,80.0,40.0
0.27002,3.4,7.5,48.0,33.0
0.78309,3.8,8.5,68.0,34.0
0.56329,5.1,8.7,79.0,37.0
0.42078,3.9,8.4,69.0,33.0
0.64097,7.1,6.2,59.0,48.0
0.46419,3.6,9.1,77.0,33.0
0.48614,4.0,5.8,65.0,34.0
0.51029,3.4,10.0,43.0,32.0
0.86541,3.9,9.1,54.0,41.0
0.23071,3.1,6.8,41.0,34.0
0.94017,6.9,9.1,49.0,65.0
0.58405,3.5,9.9,55.0,35.0
0.80265,0.8,8.0,41.0,34.0
0.38322,7.7,5.3,63.0,52.0
0.53372,8.3,6.1,68.0,56.0
0.23837,7.7,8.8,63.0,53.0
0.2199,3.7,9.3,62.0,35.0
0.28384,7.0,8.4,59.0,48.0
0.79004,7.8,9.0,47.0,61.0
0.36584,4.1,10.0,69.0,35.0
0.11925,6.5,8.5,67.0,46.0
0.25274,3.5,5.4,67.0,34.0
0.1086,3.3,9.1,44.0,33.0
0.31342,4.5,7.6,47.0,34.0
0.31153,4.4,5.9,51.0,34.0
0.4798,1.3,7.1,51.0,35.0
0.92835,4.0,6.5,63.0,44.0
0.46981,9.7,5.0,70.0,63.0
0.9453,3.4,5.1,51.0,41.0
0.26803,1.4,8.8,50.0,33.0
0.27856,5.6,9.8,47.0,39.0
0.52521,8.3,6.2,83.0,56.0
0.54245,3.7,8.5,51.0,35.0
0.44034,3.5,8.3,56.0,34.0
0.71536,3.4,6.7,60.0,35.0
0.89973,4.0,7.1,70.0,38.0
0.39346,4.4,7.6,43.0,34.0
0.2202,9.1,5.0,65.0,62.0
0.54035,3.6,8.2,74.0,34.0
0.77205,5.1,9.4,62.0,42.0
0.19887,2.9,5.4,42.0,33.0
0.48222,6.6,9.3,81.0,46.0
0.11601,3.9,9.9,62.0,35.0
0.1302,6.2,8.5,53.0,42.0
0.53466,4.1,6.6,57.0,34.0
0.36838,3.6,7.8,49.0,35.0
0.8606,1.9,9.5,53.0,32.0
0.50854,5.4,8.9,71.0,39.0
0.46714,3.4,5.5,52.0,35.0
0.54752,6.0,8.4,56.0,42.0
0.13639,3.8,7.0,51.0,33.0
0.99847,3.7,8.1,51.0,54.0
0.26334,3.3,5.9,42.0,34.0
0.20834,4.1,9.0,71.0,35.0
0.22922,3.7,7.2,58.0,35.0
0.69492,8.2,8.5,83.0,58.0
0.86313,3.5,9.9,48.0,39.0
0.65157,3.3,5.5,45.0,35.0
0.71946,3.3,8.6,50.0,33.0
0.56146,3.4,9.8,44.0,34.0
0.68059,3.7,9.0,49.0,34.0
0.60173,3.0,8.0,45.0,35.0
0.67955,3.7,6.8,61.0,34.0
0.74728,2.9,7.7,58.0,33.0
0.67852,5.5,5.4,51.0,39.0
0.56777,3.0,5.7,58.0,34.0
0.71362,3.2,9.1,40.0,33.0
0.50453,7.1,9.6,42.0,50.0
0.10128,3.8,9.7,70.0,35.0
0.97484,3.6,8.1,58.0,50.0
0.42533,3.6,8.4,51.0,33.0
0.45472,2.0,9.4,45.0,34.0
0.28162,3.5,5.8,68.0,36.0
0.32471,3.6,8.7,68.0,35.0
0.64801,3.8,5.5,51.0,33.0
0.719,3.8,7.0,49.0,34.0
0.88872,9.0,7.8,87.0,67.0
0.49942,4.3,9.0,63.0,33.0
0.35642,3.9,5.8,53.0,33.0
0.90641,1.6,9.5,40.0,34.0
0.87541,7.0,8.5,75.0,56.0
0.18099,6.6,8.8,65.0,47.0
0.35789,7.3,8.2,59.0,50.0
0.60266,2.4,7.6,47.0,34.0
0.43594,3.9,9.2,68.0,34.0
0.38371,3.6,7.9,83.0,35.0
0.9471,3.9,5.6,66.0,44.0
0.86457,3.8,7.4,67.0,37.0
0.8593,3.4,8.8,52.0,36.0
0.56106,3.2,9.6,40.0,35.0
0.81049,3.6,7.4,68.0,33.0
0.26142,3.8,9.8,67.0,33.0
0.6159,2.9,6.3,45.0,34.0
0.98546,4.2,7.1,57.0,55.0
0.81492,5.5,9.8,54.0,47.0
0.54143,4.6,8.5,60.0,34.0
0.13583,5.1,9.6,48.0,37.0
0.25171,4.1,9.3,57.0,33.0
0.66833,4.1,6.6,51.0,34.0
0.95218,7.9,8.4,58.0,72.0
0.36255,3.6,8.8,64.0,35.0
0.30382,4.1,6.4,69.0,34.0
0.21622,3.9,6.6,55.0,34.0
0.9514,2.9,8.3,53.0,42.0
0.74071,6.9,6.5,69.0,50.0
0.76749,3.5,7.9,65.0,34.0
0.54946,8.9,7.2,83.0,61.0
0.52726,2.8,6.8,43.0,34.0
0.19902,3.7,8.6,72.0,34.0
0.60386,3.5,9.4,72.0,33.0
0.32222,3.3,8.8,53.0,33.0
0.97943,3.1,8.7,40.0,48.0
0.81692,3.7,8.9,66.0,34.0
0.47169,3.6,5.7,73.0,34.0
0.8068,3.8,8.6,57.0,35.0
0.20985,4.6,9.2,60.0,35.0
0.2704,3.8,6.3,69.0,34.0
0.29037,2.6,8.0,49.0,36.0
0.80835,3.5,9.3,45.0,36.0
0.38288,3.5,9.3,62.0,34.0
0.7733,5.7,7.8,47.0,44.0
0.2995,3.2,9.3,43.0,34.0
0.29793,3.8,8.5,74.0,35.0
0.9525,2.9,9.3,40.0,45.0
0.95874,4.2,8.8,62.0,50.0
0.99142,3.8,8.4,72.0,52.0
0.26937,1.9,8.9,45.0,34.0
0.4062,5.4,7.9,66.0,40.0
0.38632,3.5,5.5,55.0,35.0
0.96087,3.6,9.6,52.0,50.0
0.81017,6.4,8.3,61.0,49.0
0.75161,0.8,9.4,56.0,33.0
0.26737,3.4,9.0,49.0,34.0
0.91857,4.0,9.2,55.0,46.0
0.84508,5.5,8.9,47.0,50.0
0.24728,3.7,8.2,43.0,35.0
0.88405,3.7,6.9,73.0,34.0
0.34502,3.9,9.7,50.0,35.0
0.17278,7.7,6.6,57.0,52.0
0.69114,5.7,9.2,73.0,42.0
0.68842,4.0,9.3,44.0,34.0
0.18544,3.2,6.9,55.0,33.0
0.99353,3.9,8.9,49.0,54.0
0.29163,3.4,9.2,44.0,35.0
0.34921,3.5,9.4,41.0,35.0
0.32401,8.0,7.9,76.0,54.0
0.31109,5.6,6.2,46.0,40.0
0.27348,4.0,9.4,62.0,35.0
0.61728,4.3,9.0,48.0,33.0
0.83831,3.5,8.8,42.0,38.0
0.26555,6.9,5.4,58.0,46.0
0.11229,4.1,8.5,67.0,35.0
0.81153,3.9,9.7,62.0,36.0
0.5411,5.1,8.9,57.0,38.0
0.17793,4.5,9.1,50.0,33.0
0.6332,3.5,8.3,43.0,32.0
0.78289,3.0,6.7,52.0,33.0
0.83279,3.4,9.6,42.0,40.0
0.79142,3.8,9.0,47.0,35.0
0.82269,5.1,8.3,53.0,45.0
0.89139,1.5,9.7,52.0,35.0
0.94391,9.7,6.8,81.0,76.0
0.46497,3.8,8.3,41.0,34.0
0.72743,5.7,8.0,69.0,41.0
0.11231,3.0,9.7,44.0,33.0
0.41962,4.2,5.9,73.0,34.0
0.35293,3.1,8.0,59.0,34.0
0.33608,2.7,9.1,43.0,34.0
0.30028,2.0,9.2,45.0,34.0
0.76745,6.0,9.3,54.0,47.0
0.32755,6.7,6.9,75.0,45.0
0.66597,3.5,8.6,62.0,36.0
0.78595,7.0,9.1,61.0,53.0
0.88884,3.2,6.3,50.0,35.0
0.86693,3.2,5.4,40.0,34.0
0.96839,3.9,5.0,50.0,50.0
0.62325,3.5,7.2,55.0,33.0
0.91779,5.3,9.5,54.0,54.0
0.11046,1.4,6.4,46.0,33.0
0.96931,3.1,6.4,58.0,44.0
0.52618,3.0,5.7,62.0,34.0
0.81836,3.7,5.9,58.0,35.0
0.21448,4.8,8.5,52.0,35.0
0.36249,5.8,10.0,56.0,40.0
0.21093,2.8,8.5,51.0,34.0
0.82519,3.6,9.5,53.0,38.0
0.10832,7.0,8.6,75.0,48.0
0.63014,3.9,9.5,58.0,35.0
0.32883,5.2,6.0,55.0,36.0
0.3331,5.9,8.8,66.0,42.0
0.5395,3.6,6.3,59.0,33.0
0.68742,3.1,9.4,46.0,36.0
0.25796,4.9,10.0,53.0,35.0
0.97637,1.2,8.7,60.0,35.0
0.63909,4.0,7.7,40.0,34.0
0.31739,3.6,8.6,55.0,33.0
0.54141,3.9,9.7,61.0,35.0
0.16671,2.8,9.9,58.0,35.0
0.71884,3.6,9.5,72.0,35.0
0.99361,9.9,6.6,57.0,91.0
0.84838,6.3,8.4,81.0,49.0
0.5172,1.4,9.9,42.0,34.0
0.76374,6.4,6.5,51.0,48.0
0.56089,2.5,7.7,42.0,35.0
0.35115,8.1,8.2,92.0,53.0
0.24505,3.9,8.4,72.0,34.0
0.48365,9.5,6.0,74.0,63.0
0.72909,5.4,7.2,68.0,40.0
0.23174,2.3,7.2,62.0,34.0
0.22579,5.1,8.9,56.0,37.0
0.62507,3.7,6.6,51.0,34.0
0.98651,3.2,9.7,44.0,48.0
0.18663,6.6,5.2,53.0,45.0
0.35716,3.8,8.0,65.0,34.0
0.16504,6.2,7.5,56.0,43.0
0.8883,7.9,5.7,79.0,58.0
0.57186,5.3,6.2,56.0,37.0
0.37871,3.0,9.1,52.0,34.0
0.89632,3.2,9.0,46.0,40.0
0.75142,3.8,10.0,69.0,33.0
0.70275,2.6,9.9,52.0,33.0
0.81887,3.8,6.1,53.0,36.0
0.65624,3.7,6.0,55.0,34.0
0.8042,4.7,9.5,72.0,40.0
0.67886,3.5,9.7,63.0,34.0
0.89399,6.9,5.5,62.0,55.0
0.15996,3.3,9.8,50.0,34.0
0.56445,4.4,9.5,66.0,34.0
0.53705,7.5,8.3,71.0,52.0
0.51957,4.3,9.9,46.0,35.0
0.19315,7.6,5.8,64.0,50.0
0.32816,3.9,8.2,61.0,35.0
0.70295,3.6,9.8,45.0,33.0
0.1121,3.8,8.3,77.0,34.0
0.28416,3.9,7.0,65.0,35.0
0.71455,3.0,8.9,54.0,33.0
0.78796,6.1,8.1,69.0,46.0
0.85587,4.2,8.2,60.0,40.0
0.36296,3.6,6.2,47.0,33.0
0.59765,3.2,9.5,56.0,34.0
0.83227,3.2,8.2,45.0,35.0
0.65674,8.8,5.4,98.0,58.0
0.85433,3.3,9.7,50.0,36.0
0.43929,6.1,8.1,42.0,44.0
0.92966,5.0,8.9,57.0,53.0
0.13263,6.1,6.4,83.0,43.0
0.87052,3.6,8.8,64.0,37.0
0.30774,3.8,8.4,64.0,34.0
0.86386,3.4,7.8,44.0,38.0
0.22528,4.0,9.8,64.0,33.0
0.8993,4.0,8.1,58.0,42.0
0.77191,4.7,8.6,73.0,36.0
0.8242,3.9,9.8,60.0,38.0
0.9328,5.3,5.9,64.0,50.0
0.25581,3.6,9.5,48.0,35.0
0.32181,3.4,9.5,45.0,34.0
0.60215,3.2,6.6,45.0,34.0
0.26645,3.1,8.9,46.0,34.0
0.13504,1.2,9.7,45.0,33.0
0.13239,4.2,9.7,61.0,34.0
0.84841,5.4,8.4,67.0,47.0
0.42228,3.8,8.2,61.0,34.0
0.90481,3.8,7.4,50.0,42.0
0.16318,3.8,9.0,72.0,36.0
0.26512,6.9,8.6,45.0,47.0
0.71116,2.2,9.1,50.0,35.0
0.78704,3.9,9.9,66.0,34.0
0.48641,3.7,9.4,66.0,35.0
0.35095,3.0,7.1,42.0,34.0
0.28979,3.7,6.0,64.0,35.0
0.92587,4.6,9.1,55.0,50.0
0.1703,5.6,6.4,78.0,40.0
0.48467,1.5,7.9,44.0,34.0
0.57916,9.6,6.2,83.0,63.0
0.90882,3.3,9.7,60.0,40.0
0.80839,3.0,9.9,49.0,33.0
0.96688,7.5,5.9,69.0,67.0
0.17179,2.8,8.7,50.0,35.0
0.46173,7.1,5.9,56.0,48.0
0.68194,3.6,8.7,72.0,34.0
0.34605,4.8,8.1,59.0,35.0
0.94015,3.8,9.8,71.0,46.0
0.13148,7.7,5.1,55.0,52.0
0.79231,8.3,5.9,79.0,58.0
0.75045,2.4,7.8,45.0,34.0
0.96756,4.2,9.2,65.0,51.0
0.93764,3.9,8.0,69.0,44.0
0.78601,3.8,6.8,62.0,33.0
0.28384,7.6,8.5,57.0,51.0
0.59071,3.6,8.3,60.0,33.0
0.78882,3.6,8.6,62.0,34.0
0.9061,7.0,8.2,59.0,60.0
0.81074,1.5,7.3,40.0,34.0
0.27574,5.9,8.1,45.0,43.0
0.63972,3.7,9.8,67.0,35.0
0.39896,3.2,8.8,42.0,34.0
0.10829,3.7,6.5,70.0,33.0
0.2802,6.1,8.7,60.0,42.0
0.2019,4.0,7.6,43.0,35.0
0.35623,6.3,9.6,67.0,44.0
0.44118,7.3,8.0,60.0,49.0
0.10863,3.7,7.9,65.0,34.0
0.20737,3.3,5.8,41.0,36.0
0.19253,5.3,6.0,54.0,39.0
0.16974,4.2,9.3,53.0,35.0
0.63393,9.3,5.3,72.0,61.0
